FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
934016|Roselawn Elementary School|School|NM|35|Eddy|015|325018N|1042410W|32.8384457|-104.4027407|||||1032|3386|Artesia|09/01/1992|
931925|06136 Water Well|Well|NM|35|Eddy|015|324612N|1042311W|32.7701136|-104.3863511|||||1027|3369|Artesia|05/01/1994|
930024|71072 Water Well|Well|NM|35|Eddy|015|325004N|1042308W|32.834557|-104.3855179|||||1025|3363|Artesia|05/01/1994|
900822|Blue Spring Farm|Locale|NM|35|Eddy|015|321219N|1041517W|32.2053968|-104.254666|||||994|3261|Black River Village|11/01/1992|
920271|The Church of Latter Day Saints|Church|NM|35|Eddy|015|325032N|1042412W|32.8423345|-104.4032963|||||1030|3379|Artesia|08/01/1993|
886109|Bates Ranch|Locale|NM|35|Eddy|015|323249N|1040937W|32.5470623|-104.1602279|||||983|3225|Angel Draw|11/13/1980|
930017|06206 Water Well|Well|NM|35|Eddy|015|325019N|1042447W|32.8387234|-104.4130188|||||1037|3402|Artesia|05/01/1994|
908263|Lowe Spring|Spring|NM|35|Eddy|015|321021N|1043009W|32.1726327|-104.5025189|||||1367|4485|Serpentine Bends|11/13/1980|04/19/2011
894664|Scoggin Flat|Flat|NM|35|Eddy|015|321639N|1040046W|32.277622|-104.0127139|||||905|2969|Loving|11/13/1980|
897416|Mosley Canyon|Valley|NM|35|Eddy|015|321643N|1042150W|32.2787268|-104.3638383|321455N|1042425W|32.2487258|-104.4068943|1061|3481|Kitchen Cove|11/13/1980|
932027|06140 Water Well|Well|NM|35|Eddy|015|324653N|1042413W|32.7815021|-104.403574|||||1033|3389|Artesia|05/01/1994|
909906|Putman Cabin|Locale|NM|35|Eddy|015|320745N|1043847W|32.1292792|-104.6463397|||||1966|6450|Queen|11/13/1980|
932039|06112 Water Well|Well|NM|35|Eddy|015|324739N|1042442W|32.7942797|-104.4116298|||||1038|3405|Artesia|05/01/1994|
890606|Jumping Spring|Spring|NM|35|Eddy|015|320211N|1041835W|32.0363261|-104.3098082|||||1033|3389|Jumping Spring|11/13/1980|04/19/2011
885526|AAA Tank|Reservoir|NM|35|Eddy|015|321043N|1041456W|32.1786543|-104.2489615|||||1006|3300|Bond Draw|11/13/1980|06/23/2011
898334|Horseshoe Lake|Lake|NM|35|Eddy|015|321024N|1040628W|32.1733586|-104.107847|||||908|2979|Malaga|11/13/1980|06/24/2011
894693|Section Six Well|Well|NM|35|Eddy|015|324703N|1043154W|32.7842784|-104.5316333|||||1113|3652|Hope SE|11/13/1980|
901055|Boulder Tank|Reservoir|NM|35|Eddy|015|322701N|1044945W|32.4503832|-104.8291345|||||1439|4721|Texas Hill|11/01/1992|
893493|Prisoner of War Camp|Locale|NM|35|Eddy|015|325211N|1042356W|32.8698341|-104.3988517|||||1028|3373|Artesia|11/13/1980|
924818|The Artesia Hotel (historical)|Building|NM|35|Eddy|015|325036N|1042352W|32.8434456|-104.3977405|||||1027|3369|Artesia|03/01/1994|
931985|20150 Water Well|Well|NM|35|Eddy|015|322411N|1042437W|32.4031701|-104.4102336|||||1092|3583|Azotea Peak|05/01/1994|
887906|Cottonwood Community Church|Church|NM|35|Eddy|015|325642N|1042740W|32.9451104|-104.4610756|||||1049|3442|Espuela|11/13/1980|
897451|Quahada Ridge|Ridge|NM|35|Eddy|015|322939N|1040248W|32.4942864|-104.046612|||||1033|3389|Indian Flats|11/13/1980|
905905|Dunnaway Tank|Reservoir|NM|35|Eddy|015|321758N|1044652W|32.2994417|-104.7811842|||||1618|5308|Ares Peak|11/13/1980|06/24/2011
929435|Carlsbad Public Library|Building|NM|35|Eddy|015|322514N|1041344W|32.4206736|-104.2288375|||||945|3100|Carlsbad East|05/01/1994|
897355|Delaware River|Stream|NM|35|Eddy|015|320204N|1040118W|32.0345691|-104.021595|315333N|1045054W|31.8925|-104.8483333|866|2841|Red Bluff|11/13/1980|01/28/2011
912206|Weldy Well|Well|NM|35|Eddy|015|321618N|1043325W|32.2717777|-104.5568989|||||1281|4203|Bandanna Point|11/13/1980|
886967|Burro Tank|Reservoir|NM|35|Eddy|015|322657N|1044456W|32.449066|-104.7487657|||||1383|4537|Cawley Draw|11/13/1980|06/23/2011
930071|06001 Water Well|Well|NM|35|Eddy|015|325047N|1042605W|32.8465009|-104.4346862|||||1049|3442|Artesia|05/01/1994|
921172|Calvary Assembly of God Church|Church|NM|35|Eddy|015|322514N|1041344W|32.4206736|-104.2288375|||||945|3100|Carlsbad East|09/01/1993|
931592|10204 Water Well|Well|NM|35|Eddy|015|322637N|1041306W|32.4437291|-104.2182823|||||951|3120|Carlsbad East|05/01/1994|
888991|Fence Canyon|Valley|NM|35|Eddy|015|321314N|1041945W|32.2206727|-104.3291132|321215N|1042056W|32.2041667|-104.3488889|1100|3609|Black River Village|11/13/1980|
890295|Indian Basin|Basin|NM|35|Eddy|015|322838N|1043343W|32.4773332|-104.5619085|||||1167|3829|Martha Creek|11/13/1980|
