FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
936817|Cockleberry Tank|Reservoir|NM|35|Eddy|015|320507N|1034729W|32.0852832|-103.7914151|||||996|3268|Phantom Banks|11/13/1980|06/24/2011
910499|Sacahuiste Draw|Valley|NM|35|Eddy|015|322442N|1043419W|32.4117774|-104.5719056|322027N|1043426W|32.340944|-104.5738467|1192|3911|Martha Creek|11/13/1980|
931095|20070 Water Well|Well|NM|35|Eddy|015|320839N|1042058W|32.1442846|-104.3493898|||||1047|3435|Black River Village|05/01/1994|
903619|Bear Canyon|Valley|NM|35|Eddy|015|321017N|1043554W|32.1715011|-104.598285|320840N|1043649W|32.1444444|-104.6136111|1437|4715|Serpentine Bends|11/13/1980|
920987|Lakewood Baptist Church|Church|NM|35|Eddy|015|323756N|1042210W|32.6323368|-104.3694041|||||1003|3291|Lake McMillan North|09/01/1993|
929079|Unite State Potash Reserve|Reserve|NM|35|Eddy|015|323222N|1040305W|32.5395636|-104.0513358|||||1004|3294|Illinois Camp SE|11/13/1980|
909612|Pickett Tanks|Reservoir|NM|35|Eddy|015|321112N|1044720W|32.1867942|-104.7888974|||||1790|5873|Pickett Hill|11/13/1980|06/24/2011
2658204|Carlsbad Fire Department Station 3|Building|NM|35|Eddy|015|322556N|1041346W|32.4323558|-104.2294136|||||950|3117|Carlsbad East|01/13/2011|
888078|Crockett Ranch|Locale|NM|35|Eddy|015|324756N|1044528W|32.7989961|-104.7577476|||||1251|4104|Sixteenmile Draw East|11/13/1980|
931956|06708 Water Well|Well|NM|35|Eddy|015|323146N|1041100W|32.5295622|-104.1832837|||||975|3199|Angel Draw|05/01/1994|
